Epoch,Training Loss,Validation Loss,F1,Roc Auc,Accuracy
0,0.482900,0.463879,0.040000,0.508605,0.592593
2,0.337800,0.337665,0.349206,0.607337,0.617284
4,0.333400,0.290924,0.500000,0.676630,0.666667
6,0.268900,0.269220,0.545455,0.704257,0.679012
8,0.290800,0.270034,0.486486,0.673007,0.641975
10,0.270900,0.265569,0.600000,0.754076,0.666667
12,0.194700,0.276960,0.608696,0.762681,0.666667
14,0.185000,0.293092,0.561798,0.731431,0.629630
16,0.175800,0.289615,0.568182,0.733243,0.641975
18,0.156600,0.300396,0.606061,0.774457,0.641975
20,0.103000,0.312160,0.547619,0.716033,0.654321
22,0.119500,0.312942,0.574713,0.735054,0.654321
24,0.119900,0.298460,0.584270,0.743659,0.641975
26,0.117600,0.303514,0.608696,0.762681,0.654321
28,0.116000,0.328324,0.608696,0.762681,0.654321
30,0.062800,0.314426,0.586957,0.750453,0.641975
32,0.112500,0.332447,0.565217,0.738225,0.641975
34,0.073600,0.347832,0.522727,0.708786,0.629630
36,0.067100,0.337785,0.586957,0.750453,0.641975
38,0.058400,0.350649,0.511628,0.700181,0.629630
40,0.057100,0.339597,0.571429,0.740036,0.641975
42,0.072200,0.347564,0.561798,0.731431,0.641975
44,0.069900,0.347719,0.568182,0.733243,0.654321
46,0.046100,0.349121,0.568182,0.733243,0.654321
47,0.077800,0.349255,0.568182,0.733243,0.654321
