Epoch	Training Loss	Validation Loss	F1	Roc Auc	Exact Match Acc	Partial Acc	True Pos	True Neg	False Neg	False Pos
1	0.090600	0.057994	0.417476	0.643194	0.929389	0.981548	215	31701	530	70
2	0.050600	0.049512	0.583908	0.752888	0.935785	0.983301	381	31592	364	179
3	0.041100	0.046494	0.587423	0.754277	0.936770	0.983454	383	31595	362	176
4	0.035200	0.046254	0.561779	0.726845	0.937385	0.983639	341	31643	404	128
5	0.031500	0.049162	0.580877	0.767332	0.932095	0.982070	404	31529	341	242
6	0.028900	0.048364	0.594796	0.765309	0.936401	0.983239	400	31571	345	200
7	0.027100	0.049747	0.570538	0.742931	0.936155	0.983054	366	31599	379	172
8	0.025800	0.051261	0.583704	0.761109	0.934924	0.982716	394	31560	351	211
9	0.024400	0.051562	0.592319	0.765854	0.936031	0.983024	401	31563	344	208
